400000 - TYPE:  CREDIT  | LEVEL:  TRADITIONAL  | BANK: INTL HDQTRS-CENTER OWNED - UNITED STATES
403755 - TYPE:  CREDIT  | LEVEL:  PLATINUM  | BANK: FIRSTCARIBBEAN INTERNATIONAL BANK (BARBADOS), LTD. - ANTIGUA AND BARBUDA
403756 - TYPE:  CREDIT  | LEVEL:  ULTRA HIGH NET WORTH  | BANK: DOHA BANK, LTD. - QATAR
403757 - TYPE:  DEBIT  | LEVEL:  CLASSIC  | BANK: BANCO PICHINCHA, S.A. - COLOMBIA
403758 - TYPE:  CREDIT  | LEVEL:  PLATINUM  | BANK: FIRSTCARIBBEAN INTERNATIONAL BANK (BARBADOS), LTD. - GRENADA
403759 - TYPE:  CREDIT  | LEVEL:  PLATINUM  | BANK: FIRSTCARIBBEAN INTERNATIONAL BANK (BARBADOS), LTD. - SAINT LUCIA
403760 - TYPE:  CREDIT  | LEVEL:  PLATINUM  | BANK: FIRSTCARIBBEAN INTERNATIONAL BANK (BARBADOS), LTD. - SAINT VINCENT AND THE GRENADINES
403761 - TYPE:  CREDIT  | LEVEL:  ------  | BANK: FIRSTCARIBBEAN INTERNATIONAL BANK - TURKS AND CAICOS ISLANDS
403762 - TYPE:  CREDIT  | LEVEL:  ------  | BANK: 
403763 - TYPE:  CREDIT  | LEVEL:  TRADITIONAL  | BANK: JPMORGAN CHASE BANK N.A. - UNITED STATES
403764 - TYPE:  DEBIT  | LEVEL:  PREPAID GOLD  | BANK: THE PREMIER BANK, LTD. - BANGLADESH
403765 - TYPE:  CREDIT  | LEVEL:  BUSINESS ENHANCED  | BANK: SAMBA FINANCIAL GROUP - SAUDI ARABIA
403766 - TYPE:  CREDIT  | LEVEL:  TRADITIONAL  | BANK: U.S. BANK NATIONAL ASSOCIATION-CREDIT - UNITED STATES
403767 - TYPE:  CREDIT  | LEVEL:  TRADITIONAL  | BANK: U.S. BANK NATIONAL ASSOCIATION-CREDIT - UNITED STATES
403768 - TYPE:  CREDIT  | LEVEL:  TRADITIONAL  | BANK: JPMORGAN CHASE BANK N.A. - UNITED STATES
403769 - TYPE:  CREDIT  | LEVEL:  TRADITIONAL  | BANK: U.S. BANK NATIONAL ASSOCIATION-CREDIT - UNITED STATES
403770 - TYPE:  DEBIT  | LEVEL:  PREPAID RELOADABLE  | BANK: METABANK - UNITED STATES
403771 - TYPE:  CREDIT  | LEVEL:  CLASSIC  | BANK: BROWARD HEALTH - UNITED STATES
403772 - TYPE:  DEBIT  | LEVEL:  CLASSIC  | BANK: LINCOLN NATIONAL BANK - UNITED STATES
403773 - TYPE:  DEBIT  | LEVEL:  PREPAID CLASSIC  | BANK: ARAB INVESTMENT BANK - EGYPT
403774 - TYPE:  CREDIT  | LEVEL:  BUSINESS  | BANK: BANCO AGRICOLA, S.A. - EL SALVADOR
403775 - TYPE:  CREDIT  | LEVEL:  BUSINESS ENHANCED  | BANK: FUBON BANK (CHINA) CO., LTD. - CHINA
403776 - TYPE:  DEBIT  | LEVEL:  PREPAID PLATINUM  | BANK: IDFC FIRST BANK, LTD. - INDIA
403777 - TYPE:  CREDIT  | LEVEL:  CLASSIC  | BANK: COOPERATIVA MULTIACTIVA NAZARETH LTDA - PARAGUAY
403778 - TYPE:  DEBIT  | LEVEL:  CLASSIC  | BANK: CITIZENS EQUITY FIRST CREDIT UNION - UNITED STATES
403779 - TYPE:  CREDIT  | LEVEL:  ------  | BANK: VISA ARGENTINA, S.A. - ARGENTINA
403780 - TYPE:  CREDIT  | LEVEL:  REWARDS  | BANK: CREDIT BANK OF MOSCOW - RUSSIAN FEDERATION
403781 - TYPE:  CREDIT  | LEVEL:  PLATINUM  | BANK: RAIFFEISENBANK A.D., BEOGRAD - SERBIA
403782 - TYPE:  CREDIT  | LEVEL:  SIGNATURE  | BANK: JSC UKRSIBBANK - UKRAINE
403783 - TYPE:  CREDIT  | LEVEL:  ------  | BANK: THIRD FEDERAL SAVINGS AND LOAN - UNITED STATES
403784 - TYPE:  CREDIT  | LEVEL:  TRADITIONAL  | BANK: U.S. BANK NATIONAL ASSOCIATION-CREDIT - UNITED STATES
403785 - TYPE:  CREDIT  | LEVEL:  TRADITIONAL  | BANK: U.S. BANK NATIONAL ASSOCIATION-CREDIT - UNITED STATES
403786 - TYPE:  DEBIT  | LEVEL:  CLASSIC  | BANK: EFCU FINANCIAL FEDERAL CREDIT UNION - UNITED STATES
403787 - TYPE:  DEBIT  | LEVEL:  CLASSIC  | BANK: SHELL WESTERN STATES FEDERAL CREDIT UNION - UNITED STATES
403788 - TYPE:  DEBIT  | LEVEL:  CLASSIC  | BANK: CLEVELAND BRADLEY COUNTY TEACHERS FEDERAL CREDIT UNION - UNITED STATES
403789 - TYPE:  CREDIT  | LEVEL:  SIGNATURE  | BANK: MRV BANKS - UNITED STATES
403790 - TYPE:  DEBIT  | LEVEL:  CLASSIC  | BANK: WELLS FARGO BANK, N.A. - UNITED STATES
403791 - TYPE:  CREDIT  | LEVEL:  CLASSIC  | BANK: BANCO DO BRASIL, S.A. - BRAZIL
403792 - TYPE:  CREDIT  | LEVEL:  CLASSIC  | BANK: BANCO DO BRASIL, S.A. - BRAZIL
403793 - TYPE:  CREDIT  | LEVEL:  GOLD  | BANK: BANCO DO BRASIL, S.A. - BRAZIL
403794 - TYPE:  CREDIT  | LEVEL:  TRADITIONAL  | BANK: JPMORGAN CHASE BANK N.A. - UNITED STATES
403795 - TYPE:  CREDIT  | LEVEL:  CLASSIC  | BANK: BANCO DO BRASIL, S.A. - BRAZIL
403796 - TYPE:  CREDIT  | LEVEL:  GOLD  | BANK: BANCO DO BRASIL, S.A. - BRAZIL
403797 - TYPE:  CREDIT  | LEVEL:  ------  | BANK: BANCO DO BRASIL, S.A. - BRAZIL
403798 - TYPE:  CREDIT  | LEVEL:  TRADITIONAL  | BANK: JPMORGAN CHASE BANK N.A. - UNITED STATES
403799 - TYPE:  CREDIT  | LEVEL:  PLATINUM  | BANK: BANCO DE BOGOTA, S.A. - COLOMBIA
403800 - TYPE:  DEBIT  | LEVEL:  CLASSIC  | BANK: OJSC NORDEA BANK - RUSSIAN FEDERATION
403801 - TYPE:  DEBIT  | LEVEL:  CLASSIC  | BANK: BANK OF COMMERCE - UNITED STATES
403802 - TYPE:  DEBIT  | LEVEL:  CLASSIC  | BANK: BANK OF COMMERCE - UNITED STATES
403803 - TYPE:  DEBIT  | LEVEL:  CLASSIC  | BANK: HSBC BANK OMAN (S.A.O.G) - OMAN
403804 - TYPE:  CREDIT  | LEVEL:  SIGNATURE  | BANK: BLACK HILLS FEDERAL CREDIT UNION - UNITED STATES
403805 - TYPE:  DEBIT  | LEVEL:  GOLD  | BANK: OJSC NORDEA BANK - RUSSIAN FEDERATION
403806 - TYPE:  DEBIT  | LEVEL:  CLASSIC  | BANK: UNITED BANK FOR AFRICA CONGO - CONGO
403807 - TYPE:  DEBIT  | LEVEL:  CLASSIC  | BANK: OFFICE NATIONAL DES POSTES - TUNISIA
403808 - TYPE:  DEBIT  | LEVEL:  CLASSIC  | BANK: DOW CREDIT UNION - UNITED STATES
403809 - TYPE:  DEBIT  | LEVEL:  PLATINUM  | BANK: 
403810 - TYPE:  CREDIT  | LEVEL:  BUSINESS  | BANK: KUVEYT TURK KATILIM BANKASI, A.S. - TURKEY
403811 - TYPE:  CREDIT  | LEVEL:  PURCHASING  | BANK: 
403812 - TYPE:  CREDIT  | LEVEL:  PLATINUM  | BANK: FIRSTRAND BANK, LTD. - SOUTH AFRICA
403813 - TYPE:  DEBIT  | LEVEL:  BUSINESS  | BANK: SANOAT QURILISH BANK - UZBEKISTAN
403814 - TYPE:  DEBIT  | LEVEL:  GOLD  | BANK: OJSC REAL BANK - UKRAINE
403815 - TYPE:  DEBIT  | LEVEL:  CLASSIC  | BANK: BANK OF CEYLON - SRI LANKA
403816 - TYPE:  DEBIT  | LEVEL:  BUSINESS  | BANK: FAIRWINDS CREDIT UNION - UNITED STATES
403817 - TYPE:  DEBIT  | LEVEL:  CLASSIC  | BANK: FIRST NATIONAL BANK OF OMAHA - UNITED STATES
403818 - TYPE:  DEBIT  | LEVEL:  CLASSIC  | BANK: FIRST NATIONAL BANK OF OMAHA - UNITED STATES
403819 - TYPE:  DEBIT  | LEVEL:  CLASSIC  | BANK: TRUIST BANK - UNITED STATES
403820 - TYPE:  DEBIT  | LEVEL:  BUSINESS  | BANK: TRUIST BANK - UNITED STATES
403821 - TYPE:  CREDIT  | LEVEL:  BUSINESS  | BANK: TRUIST BANK - CREDIT - UNITED STATES
403822 - TYPE:  CREDIT  | LEVEL:  CLASSIC  | BANK: ABSA BANK, LTD. - SOUTH AFRICA
403823 - TYPE:  CREDIT  | LEVEL:  BUSINESS  | BANK: BC CARD - KOREA, REPUBLIC OF
403824 - TYPE:  CREDIT  | LEVEL:  ------  | BANK: POWSZECHNA KASA OSZCZEDNOSCI BANK POLSKI SA (PKO BANK POLSKI SA) - POLAND
403825 - TYPE:  DEBIT  | LEVEL:  PREPAID  | BANK: 
403826 - TYPE:  CREDIT  | LEVEL:  BUSINESS  | BANK: UNICREDIT S.P.A. - ITALY
403827 - TYPE:  DEBIT  | LEVEL:  CLASSIC  | BANK: CANOPY FEDERAL CREDIT UNION - UNITED STATES
403828 - TYPE:  DEBIT  | LEVEL:  GOLD  | BANK: JSC JSCB INTERNATIONAL FINANCIAL CLUB - RUSSIAN FEDERATION
403829 - TYPE:  DEBIT  | LEVEL:  PREPAID GOLD  | BANK: OJSC CONSERVATIVE CB - RUSSIAN FEDERATION
403830 - TYPE:  DEBIT  | LEVEL:  ELECTRON  | BANK: 
403831 - TYPE:  CREDIT  | LEVEL:  BUSINESS  | BANK: BC CARD COMPANY, LTD. - KOREA, REPUBLIC OF
403832 - TYPE:  CREDIT  | LEVEL:  SIGNATURE  | BANK: GESA CREDIT UNION - UNITED STATES
403833 - TYPE:  DEBIT  | LEVEL:  BUSINESS  | BANK: GREEN DOT BANK DBA BONNEVILLE BANK - UNITED STATES
403834 - TYPE:  DEBIT  | LEVEL:  CLASSIC  | BANK: BANK OF O&#039;FALLON - UNITED STATES
403835 - TYPE:  CREDIT  | LEVEL:  BUSINESS  | BANK: SERVICE ONE CREDIT UNION, INC - UNITED STATES
403836 - TYPE:  CREDIT  | LEVEL:  BUSINESS  | BANK: SEKERBANK T.A.S. - TURKEY
403837 - TYPE:  DEBIT  | LEVEL:  ELECTRON  | BANK: K&amp;H BANK ZRT - HUNGARY
403838 - TYPE:  DEBIT  | LEVEL:  CLASSIC  | BANK: JSC CB PRIOBYE - RUSSIAN FEDERATION
403839 - TYPE:  DEBIT  | LEVEL:  CLASSIC  | BANK: IDBI BANK LTD. - INDIA
403840 - TYPE:  DEBIT  | LEVEL:  REWARDS  | BANK: BANK ZENIT - RUSSIAN FEDERATION
403841 - TYPE:  DEBIT  | LEVEL:  REWARDS  | BANK: BANK ZENIT - RUSSIAN FEDERATION
403842 - TYPE:  DEBIT  | LEVEL:  CLASSIC  | BANK: BANK ZENIT - RUSSIAN FEDERATION
403843 - TYPE:  DEBIT  | LEVEL:  BUSINESS  | BANK: BANK ZENIT - RUSSIAN FEDERATION
403844 - TYPE:  CREDIT  | LEVEL:  TRADITIONAL  | BANK: JPMORGAN CHASE BANK N.A. - UNITED STATES
403845 - TYPE:  CREDIT  | LEVEL:  ELECTRON  | BANK: MBANK, S.A. - POLAND
403846 - TYPE:  DEBIT  | LEVEL:  CLASSIC  | BANK: TELLER, A.S. - NORWAY
403847 - TYPE:  DEBIT  | LEVEL:  ELECTRON  | BANK: TELLER, A.S. - NORWAY
403848 - TYPE:  CREDIT  | LEVEL:  ------  | BANK: CHINESE BANK - TAIWAN, PROVINCE OF CHINA
403849 - TYPE:  CREDIT  | LEVEL:  ------  | BANK: 
403850 - TYPE:  CREDIT  | LEVEL:  PLATINUM  | BANK: THE SHANGHAI COMMERCIAL &amp; SAVINGS BANK, LTD. - TAIWAN, PROVINCE OF CHINA
403851 - TYPE:  DEBIT  | LEVEL:  CLASSIC  | BANK: JSC CB SOLIDARITY - RUSSIAN FEDERATION
403852 - TYPE:  DEBIT  | LEVEL:  GOLD  | BANK: JSC CB SOLIDARITY - RUSSIAN FEDERATION
403853 - TYPE:  DEBIT  | LEVEL:  ELECTRON  | BANK: JSC CB SOLIDARITY - RUSSIAN FEDERATION
403854 - TYPE:  DEBIT  | LEVEL:  BUSINESS  | BANK: JSC CB SOLIDARITY - RUSSIAN FEDERATION
403855 - TYPE:  DEBIT  | LEVEL:  BUSINESS  | BANK: COMMUNITY CHOICE CREDIT UNION - UNITED STATES
403856 - TYPE:  CREDIT  | LEVEL:  PLATINUM  | BANK: 
403857 - TYPE:  CREDIT  | LEVEL:  ------  | BANK: 
403858 - TYPE:  CREDIT  | LEVEL:  CLASSIC  | BANK: BANCO CITIBANK DE EL SALVADOR, S.A. - EL SALVADOR
403859 - TYPE:  CREDIT  | LEVEL:  GOLD  | BANK: BANCO CUSCATLAN DE EL SALVADOR, S.A. - EL SALVADOR
403860 - TYPE:  CREDIT  | LEVEL:  SIGNATURE  | BANK: BANCO CITIBANK DE EL SALVADOR, S.A. - EL SALVADOR
403861 - TYPE:  DEBIT  | LEVEL:  CLASSIC  | BANK: BANCO CUSCATLAN DE EL SALVADOR, S.A. - EL SALVADOR
403862 - TYPE:  DEBIT  | LEVEL:  CLASSIC  | BANK: AMWAL FOR ELECTRONIC BANKING SERVICES CO. - IRAQ
403863 - TYPE:  DEBIT  | LEVEL:  BUSINESS  | BANK: CREDOMATIC DE EL SALVADOR, S.A. - EL SALVADOR
403864 - TYPE:  DEBIT  | LEVEL:  BUSINESS  | BANK: 
403865 - TYPE:  DEBIT  | LEVEL:  BUSINESS  | BANK: ALPHA BANK SRBIJA AD BEOGRAD - SERBIA
403866 - TYPE:  DEBIT  | LEVEL:  ELECTRON  | BANK: ALPHA BANK SRBIJA AD BEOGRAD - SERBIA
403867 - TYPE:  DEBIT  | LEVEL:  ELECTRON  | BANK: ALPHA BANK SRBIJA AD BEOGRAD - SERBIA
403868 - TYPE:  DEBIT  | LEVEL:  BUSINESS  | BANK: ALPHA BANK SRBIJA AD BEOGRAD - SERBIA
403869 - TYPE:  CREDIT  | LEVEL:  ------  | BANK: ALPHA BANK SRBIJA AD BEOGRAD - SERBIA
403870 - TYPE:  CREDIT  | LEVEL:  ------  | BANK: 
403871 - TYPE:  CREDIT  | LEVEL:  ------  | BANK: 
403872 - TYPE:  DEBIT  | LEVEL:  PREPAID CLASSIC  | BANK: AL BILAD BANK - SAUDI ARABIA
403873 - TYPE:  DEBIT  | LEVEL:  CLASSIC  | BANK: PUBLIC JOINT-STOCK COMPANY UNITED FINANCIAL CAPITAL BANK - RUSSIAN FEDERATION
403874 - TYPE:  DEBIT  | LEVEL:  GOLD  | BANK: PUBLIC JOINT-STOCK COMPANY UNITED FINANCIAL CAPITAL BANK - RUSSIAN FEDERATION
403875 - TYPE:  DEBIT  | LEVEL:  BUSINESS  | BANK: HDFC BANK, LTD. - INDIA
403876 - TYPE:  DEBIT  | LEVEL:  BUSINESS  | BANK: RAIFFEISEN BANK KOSOVO JSC - KOSOVO, REPUBLIC OF
403877 - TYPE:  DEBIT  | LEVEL:  CLASSIC  | BANK: PODRAVSKA BANKA D.D. - CROATIA
403878 - TYPE:  CREDIT  | LEVEL:  CORPORATE T&amp;E  | BANK: HANA CARD - KOREA, REPUBLIC OF
403879 - TYPE:  CREDIT  | LEVEL:  PLATINUM  | BANK: THE SHANGHAI COMMERCIAL &amp; SAVINGS BANK, LTD. - TAIWAN, PROVINCE OF CHINA
403880 - TYPE:  DEBIT  | LEVEL:  PREPAID CLASSIC  | BANK: UNITED BANK FOR AFRICA CONGO - CONGO
403881 - TYPE:  DEBIT  | LEVEL:  CLASSIC  | BANK: UNITED BANK FOR AFRICA CONGO - CONGO
403882 - TYPE:  DEBIT  | LEVEL:  ELECTRON  | BANK: 
403883 - TYPE:  CREDIT  | LEVEL:  BUSINESS  | BANK: AVAL CARD, S.A. - NICARAGUA
403884 - TYPE:  DEBIT  | LEVEL:  CLASSIC  | BANK: ALLEN HOSPITAL PERSONNEL CREDIT UNION - UNITED STATES
403885 - TYPE:  CREDIT  | LEVEL:  CORPORATE T&amp;E  | BANK: CAPITAL BANK, S.A. - HAITI
403886 - TYPE:  CREDIT  | LEVEL:  CLASSIC  | BANK: BANCO BILBAO VIZCAYA ARGENTARIA S.A. (BBVA) - SPAIN
403887 - TYPE:  CREDIT  | LEVEL:  CLASSIC  | BANK: BANCO COOPERATIVO ESPANOL, S.A. - SPAIN
403888 - TYPE:  DEBIT  | LEVEL:  CLASSIC  | BANK: CAJA LABORAL POPULAR COOP. DE CREDITO - SPAIN
403889 - TYPE:  DEBIT  | LEVEL:  CLASSIC  | BANK: OJSC NORDEA BANK - RUSSIAN FEDERATION
403890 - TYPE:  DEBIT  | LEVEL:  GOLD  | BANK: OJSC NORDEA BANK - RUSSIAN FEDERATION
403891 - TYPE:  DEBIT  | LEVEL:  ELECTRON  | BANK: OJSC NORDEA BANK - RUSSIAN FEDERATION
403892 - TYPE:  DEBIT  | LEVEL:  BUSINESS  | BANK: OJSC NORDEA BANK - RUSSIAN FEDERATION
403893 - TYPE:  DEBIT  | LEVEL:  CLASSIC  | BANK: FIRST HERITAGE FEDERAL CREDIT UNION - UNITED STATES
403894 - TYPE:  CREDIT  | LEVEL:  CLASSIC  | BANK: 
403895 - TYPE:  DEBIT  | LEVEL:  BUSINESS  | BANK: THE FIRST NATIONAL BANK OF FORT SMITH - UNITED STATES
403896 - TYPE:  CREDIT  | LEVEL:  REWARDS  | BANK: AVANGARD JSB - RUSSIAN FEDERATION
403897 - TYPE:  CREDIT  | LEVEL:  GOLD  | BANK: AVANGARD JSB - RUSSIAN FEDERATION
403898 - TYPE:  DEBIT  | LEVEL:  CLASSIC  | BANK: AVANGARD JSB - RUSSIAN FEDERATION
403899 - TYPE:  CREDIT  | LEVEL:  GOLD  | BANK: BANCO DAVIVIENDA, S.A. - COLOMBIA
403900 - TYPE:  DEBIT  | LEVEL:  CLASSIC  | BANK: BANK OF HINDMAN - UNITED STATES
403901 - TYPE:  DEBIT  | LEVEL:  CLASSIC  | BANK: NIAGARA FRONTIER FEDERAL MUNICIPAL EMPLOYEES CREDIT UNION - UNITED STATES
403902 - TYPE:  CREDIT  | LEVEL:  CLASSIC  | BANK: CARD SERVICES FOR CREDIT UNIONS - UNITED STATES
403903 - TYPE:  CREDIT  | LEVEL:  CLASSIC  | BANK: UNIVERSITY OF MICHIGAN CREDIT UNION - UNITED STATES
403904 - TYPE:  CREDIT  | LEVEL:  TRADITIONAL REWARDS  | BANK: SOO CO-OP CREDIT UNION - UNITED STATES
403905 - TYPE:  DEBIT  | LEVEL:  PREPAID CLASSIC  | BANK: PATHWARD, N.A. - UNITED STATES
403906 - TYPE:  CREDIT  | LEVEL:  PLATINUM  | BANK: HABIB BANK, LTD. - PAKISTAN
403907 - TYPE:  CREDIT  | LEVEL:  BUSINESS  | BANK: FIRSTRAND BANK, LTD. - SOUTH AFRICA
403908 - TYPE:  CREDIT  | LEVEL:  TRADITIONAL REWARDS  | BANK: ATOMIC CREDIT UNION, INC. - UNITED STATES
403909 - TYPE:  CREDIT  | LEVEL:  TRADITIONAL REWARDS  | BANK: NORSTATE FEDERAL CREDIT UNION - UNITED STATES
403910 - TYPE:  CREDIT  | LEVEL:  TRADITIONAL REWARDS  | BANK: UNIVERSITY OF NEBRASKA FEDERAL CREDIT UNION - UNITED STATES
403911 - TYPE:  CREDIT  | LEVEL:  TRADITIONAL REWARDS  | BANK: DUTCH POINT CREDIT UNION, INC. - UNITED STATES
403912 - TYPE:  CREDIT  | LEVEL:  TRADITIONAL  | BANK: 360 FEDERAL CREDIT UNION - UNITED STATES
403913 - TYPE:  CREDIT  | LEVEL:  CLASSIC  | BANK: LOTTE FINANCE VIETNAM COMPANY, LTD. - VIET NAM
403914 - TYPE:  CREDIT  | LEVEL:  TRADITIONAL  | BANK: JPMORGAN CHASE BANK N.A. - UNITED STATES
403915 - TYPE:  CREDIT  | LEVEL:  TRADITIONAL  | BANK: UNITED FEDERAL CREDIT UNION - UNITED STATES
403916 - TYPE:  DEBIT  | LEVEL:  SIGNATURE  | BANK: FAYSAL BANK, LTD. - PAKISTAN
403917 - TYPE:  DEBIT  | LEVEL:  INFINITE  | BANK: JSCB URAL FD - RUSSIAN FEDERATION
403918 - TYPE:  CREDIT  | LEVEL:  TRADITIONAL  | BANK: FAMILY FINANCIAL CREDIT UNION - UNITED STATES
403919 - TYPE:  CREDIT  | LEVEL:  CLASSIC  | BANK: PROFESSIONAL FEDERAL CREDIT UNION - UNITED STATES
403920 - TYPE:  CREDIT  | LEVEL:  CLASSIC  | BANK: CANTON SCHOOL EMPLOYEES FEDERAL CREDIT UNION - UNITED STATES
403921 - TYPE:  CREDIT  | LEVEL:  TRADITIONAL REWARDS  | BANK: WINSOUTH CREDIT UNION - UNITED STATES
403922 - TYPE:  CREDIT  | LEVEL:  CLASSIC  | BANK: FINGER LAKES FEDERAL CREDIT UNION - UNITED STATES
403923 - TYPE:  CREDIT  | LEVEL:  TRADITIONAL  | BANK: JPMORGAN CHASE BANK N.A. - UNITED STATES
403924 - TYPE:  DEBIT  | LEVEL:  CLASSIC  | BANK: EMPLOYEE RESOURCES CREDIT UNION - UNITED STATES
403925 - TYPE:  CREDIT  | LEVEL:  TRADITIONAL  | BANK: AMERICAN EAGLE FINANCIAL CREDIT UNION - UNITED STATES
403926 - TYPE:  DEBIT  | LEVEL:  CLASSIC  | BANK: GUARDIAN SAVINGS BANK - UNITED STATES
403927 - TYPE:  CREDIT  | LEVEL:  CLASSIC  | BANK: CARD SERVICES FOR CREDIT UNIONS - UNITED STATES
403928 - TYPE:  CREDIT  | LEVEL:  TRADITIONAL  | BANK: SUMMIT CREDIT UNION - UNITED STATES
403929 - TYPE:  CREDIT  | LEVEL:  TRADITIONAL  | BANK: TRULIANT FEDERAL CREDIT UNION - UNITED STATES
403930 - TYPE:  CREDIT  | LEVEL:  TRADITIONAL REWARDS  | BANK: MEMBERS FIRST CREDIT UNION OF FLORIDA - UNITED STATES
403931 - TYPE:  CREDIT  | LEVEL:  CLASSIC  | BANK: FIRST UNITED FEDERAL CREDIT UNION - UNITED STATES
403932 - TYPE:  CREDIT  | LEVEL:  CLASSIC  | BANK: BAYLANDS FAMILY CREDIT UNION - UNITED STATES
403933 - TYPE:  DEBIT  | LEVEL:  BUSINESS ENHANCED  | BANK: SBERBANK OF RUSSIA - RUSSIAN FEDERATION
403934 - TYPE:  CREDIT  | LEVEL:  TRADITIONAL REWARDS  | BANK: MRV BANKS - UNITED STATES
403935 - TYPE:  CREDIT  | LEVEL:  PLATINUM  | BANK: HABIB BANK, LTD. - PAKISTAN
403936 - TYPE:  CREDIT  | LEVEL:  TRADITIONAL  | BANK: JPMORGAN CHASE BANK N.A. - UNITED STATES
403937 - TYPE:  DEBIT  | LEVEL:  PREPAID  | BANK: 
403938 - TYPE:  CREDIT  | LEVEL:  GOLD  | BANK: BANCO DE NEGOCIOS INTERNACIONAL, S.A. (BNI) - ANGOLA
403939 - TYPE:  CREDIT  | LEVEL:  BUSINESS  | BANK: NAVY FEDERAL CREDIT UNION - UNITED STATES
403940 - TYPE:  DEBIT  | LEVEL:  CLASSIC  | BANK: 
403941 - TYPE:  CREDIT  | LEVEL:  TRADITIONAL  | BANK: JPMORGAN CHASE BANK N.A. - UNITED STATES
403942 - TYPE:  CREDIT  | LEVEL:  CLASSIC  | BANK: ATOMIC CREDIT UNION - UNITED STATES
403943 - TYPE:  CREDIT  | LEVEL:  TRADITIONAL  | BANK: JPMORGAN CHASE BANK N.A. - UNITED STATES
403944 - TYPE:  CREDIT  | LEVEL:  CLASSIC  | BANK: PEOPLESCHOICE CREDIT UNION - UNITED STATES
403945 - TYPE:  CREDIT  | LEVEL:  TRADITIONAL  | BANK: RTP FEDERAL CREDIT UNION - UNITED STATES
403946 - TYPE:  CREDIT  | LEVEL:  CLASSIC  | BANK: CLEARVIEW FEDERAL CREDIT UNION - UNITED STATES
403947 - TYPE:  CREDIT  | LEVEL:  CLASSIC  | BANK: ROCHESTER &amp; MONROE COUNTY EMPLOYEES FEDERAL CU - UNITED STATES
403948 - TYPE:  DEBIT  | LEVEL:  CLASSIC  | BANK: RADIUS FEDERAL CREDIT UNION - UNITED STATES
403949 - TYPE:  CREDIT  | LEVEL:  TRADITIONAL REWARDS  | BANK: SPENCERPORT FEDERAL CREDIT UNION - UNITED STATES
403950 - TYPE:  DEBIT  | LEVEL:  GOLD  | BANK: CIMB VIETNAM - VIET NAM
403951 - TYPE:  CREDIT  | LEVEL:  TRADITIONAL REWARDS  | BANK: LISTERHILL CREDIT UNION - UNITED STATES
403952 - TYPE:  CREDIT  | LEVEL:  CLASSIC  | BANK: WANIGAS CREDIT UNION - UNITED STATES
403953 - TYPE:  CREDIT  | LEVEL:  CLASSIC  | BANK: SEA COMM FEDERAL CREDIT UNION - UNITED STATES
403954 - TYPE:  DEBIT  | LEVEL:  CLASSIC  | BANK: BANK OF JAMESTOWN - UNITED STATES
403955 - TYPE:  CREDIT  | LEVEL:  SIGNATURE  | BANK: NINGBO YINZHOU RURAL COMMERCIAL BANK CO., LTD - CHINA
403956 - TYPE:  CREDIT  | LEVEL:  TRADITIONAL  | BANK: SEBASTICOOK VALLEY FEDERAL CREDIT UNION - UNITED STATES
403957 - TYPE:  CREDIT  | LEVEL:  TRADITIONAL  | BANK: FIRELANDS FEDERAL CREDIT UNION - UNITED STATES
403958 - TYPE:  CREDIT  | LEVEL:  CLASSIC  | BANK: CARD SERVICES FOR CREDIT UNIONS - UNITED STATES
403959 - TYPE:  CREDIT  | LEVEL:  CLASSIC  | BANK: KATAHDIN FEDERAL CREDIT UNION - UNITED STATES
403960 - TYPE:  CREDIT  | LEVEL:  TRADITIONAL  | BANK: MAINE SAVINGS FEDERAL CREDIT UNION - UNITED STATES
403961 - TYPE:  CREDIT  | LEVEL:  TRADITIONAL REWARDS  | BANK: KSW FEDERAL CREDIT UNION - UNITED STATES
403962 - TYPE:  CREDIT  | LEVEL:  TRADITIONAL  | BANK: TRUCHOICE FEDERAL CREDIT UNION - UNITED STATES
403963 - TYPE:  CREDIT  | LEVEL:  TRADITIONAL  | BANK: JPMORGAN CHASE BANK N.A. - UNITED STATES
403964 - TYPE:  CREDIT  | LEVEL:  CLASSIC  | BANK: CARD SERVICES FOR CREDIT UNIONS - UNITED STATES
403965 - TYPE:  DEBIT  | LEVEL:  CLASSIC  | BANK: SHINHAN CARD CO., LTD. - KOREA, REPUBLIC OF
403966 - TYPE:  CREDIT  | LEVEL:  TRADITIONAL  | BANK: POWER ONE FEDERAL CREDIT UNION - UNITED STATES
403967 - TYPE:  CREDIT  | LEVEL:  TRADITIONAL  | BANK: JPMORGAN CHASE BANK N.A. - UNITED STATES
403968 - TYPE:  CREDIT  | LEVEL:  TRADITIONAL  | BANK: PNC BANK, NATIONAL ASSOCIATION - UNITED STATES
403969 - TYPE:  CREDIT  | LEVEL:  TRADITIONAL  | BANK: MIDWEST CARPENTERS &amp; MILLWRIGHTS FEDERAL CREDIT UNION - UNITED STATES
403970 - TYPE:  DEBIT  | LEVEL:  CLASSIC  | BANK: DOWN EAST CREDIT UNION - UNITED STATES
403971 - TYPE:  DEBIT  | LEVEL:  CLASSIC  | BANK: SKYONE FEDERAL CREDIT UNION - UNITED STATES
403972 - TYPE:  CREDIT  | LEVEL:  TRADITIONAL  | BANK: CHIPHONE FEDERAL CREDIT UNION - UNITED STATES
